idsbr,Query,Actual Place Name,Category,Rating,Address,Phone Number,Website,Latitude,Longitude,Status,Open Status,Operation Hours,Place,Validasi
16758772,"Sentral Baja Indonesia, JL. Greges Jaya II No. 8 Blok C-9, Kota Surabaya, Provinsi Jawa Timur",Sentral Baja Indonesia,Steel construction company,"4,9"," Ruko Plaza Segi 8, Jl. Raya Darmo Permai III No.862 Blok C, Sonokwijenan, Sukomanunggal, Surabaya, East Java 60226",Gagal,Gagal,-7.2758096,112.6949126,Aktif,· Tutup pukul 17.00,Gagal,"Sentral Baja Indonesia, JL. Greges Jaya II No. 8 Blok C-9, Kota Surabaya, Provinsi Jawa Timur",Ditemukan
16808041,"JAYA MAS MANDIRI PLUS, PT, Jl. Margomulyo Industri 44 Hh 19 ,",PT Jaya Mas Mandiri Plus,Kantor Perusahaan,"4,4"," Jl. Pakal No.124, Pakal, Kec. Pakal, Surabaya, Jawa Timur 60196",Gagal,http://www.jplus.co.id/,-7.2360693,112.6143801,Aktif,Gagal,Gagal,"JAYA MAS MANDIRI PLUS, PT, Jl. Margomulyo Industri 44 Hh 19 ,",Ditemukan
2915160,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Everllence Indonesia (Formerly MAN ES Indonesia),Kantor Perusahaan,"4,4"," Jl. Pergudangan Suri Mulia No.44 Kav. E-15, Greges, Asem Rowo, Surabaya, East Java 60182",Gagal,https://www.everllence.com/,-7.2367048,112.6849024,Aktif,· Tutup pukul 17.30,Gagal,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Ditemukan
2915160,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Everllence Indonesia (Formerly MAN ES Indonesia),Kantor Perusahaan,"4,4"," Jl. Pergudangan Suri Mulia No.44 Kav. E-15, Greges, Asem Rowo, Surabaya, East Java 60182",Gagal,https://www.everllence.com/,-7.2367048,112.6849024,Aktif,· Tutup pukul 17.30,Gagal,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Tidak Ditemukan
4385768,"NIFANG ELEKTRIK, JL. MARGOMULYO PERMAI",Nifang Elektrik (Cable Tray/Cable Ladder),Toko Alat Listrik,"4,2"," Jl. Pergudangan Margomulyo Permai No.M1-2, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,https://nifangelektrik.wordpress.com/,-7.2479149,112.6869193,Aktif,· 16.00 · Buka Kam pukul 08.00,Gagal,"NIFANG ELEKTRIK, JL. MARGOMULYO PERMAI",Ditemukan
6197733,"MULTI REKAT, Jl. Margomulyo 51A Kav. 15",CV Multi Rekat,Grosir bahan kimia,Gagal," Jl. Pergudangan Margomulyo Permai AD17, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,https://www.multirekat.com/,-7.2436026,112.6865588,Aktif,· 16.00 · Buka Kam pukul 07.00,Gagal,"MULTI REKAT, Jl. Margomulyo 51A Kav. 15",Ditemukan
6197832,"HARMONI CAHAYA ELEKTRIK, Jl. Dumar Industri Blok A No 3",Harmoni Cahaya Elektrik,Toko Alat Listrik,"5,0"," Jl. Dumar Industri No.44, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,Gagal,-7.2436278,112.6910313,Aktif,Gagal,Gagal,"HARMONI CAHAYA ELEKTRIK, Jl. Dumar Industri Blok A No 3",Ditemukan
6198051,"BABA PRIMA MANUFACTURING, PT, Jl. Kenjeran No.411",Baba Prima Manufacturing. PT,Produsen,"4,4"," Jl. Kenjeran No.411, Gading, Kec. Tambaksari, Surabaya, Jawa Timur 60134",Gagal,Gagal,-7.2476061,112.774893,Aktif,Gagal,Gagal,"BABA PRIMA MANUFACTURING, PT, Jl. Kenjeran No.411",Ditemukan
6198311,"JAYA METAL SURABAYA, Jl. Margomulyo 66-F No. Kav 2",PT. Jaya Metal Surabaya,Pabrik Logam,"4,8"," Jl. Margomulyo.66F Kav.2, RT.001, RT.001/RW.01, Greges, Asem Rowo, Surabaya, East Java 60183",Gagal,http://www.ptjayametal.com/,-7.2336406,112.682064,Aktif,· Tutup pukul 17.00,Gagal,"JAYA METAL SURABAYA, Jl. Margomulyo 66-F No. Kav 2",Ditemukan
6198369,"DYNASTY MAS PRIMA, Jl. Kenjeran No. 627",PT. Dynasty Mas Prima,Ahli Perhiasan,"3,7"," Jl. Kenjeran No.627, Kalijudan, Kec. Mulyorejo, Surabaya, Jawa Timur 60114",Gagal,http://www.dynastymasprima.com/,-7.2506173,112.7869688,Aktif,· 16.00 · Buka Kam pukul 09.00,Gagal,"DYNASTY MAS PRIMA, Jl. Kenjeran No. 627",Ditemukan
6199456,"BUMIMAS MULTIKARYA PERKASA, Tambak Langon Indah I/37 Blok B-20",PT BUMIMAS MULTIKARYA PERKASA,Pabrikan pintu,"4,8"," TAMBAK LANGON INDAH 1 /37 PERGUDANGAN MUTIARA TAMBAK LANGON B20, Surabaya, Jawa Timur 60184",Gagal,https://www.bmphome.com/,-7.2302064,112.6606733,Aktif,· 16.00 · Buka Kam pukul 09.00,Gagal,"BUMIMAS MULTIKARYA PERKASA, Tambak Langon Indah I/37 Blok B-20",Ditemukan
6199520,"CITRASAMINDO RAYA, Jl. Prapen Indah F 7",Citra Samindo Raya. PT,Gagal,"5,0"," MQM5+GV6, Prapen, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299",Gagal,https://www.citrasamindoraya.com/contact,-7.3162108,112.7570567,Aktif,Gagal,Gagal,"CITRASAMINDO RAYA, Jl. Prapen Indah F 7",Ditemukan
6200437,"ANUGERAH INDAH ABADI, Tambak Langon 8",CV. Anugerah Indah Abadi,Kelas pengerjaan kayu,"4,7"," Jl. Tambak Langon No.8, Tambak Langon, Kec. Asem Rowo, Surabaya, Jawa Timur 60184",Gagal,http://aiafloor.co.id/,-7.2282126,112.6727172,Aktif,· 16.00 · Buka Kam pukul 08.00,Gagal,"ANUGERAH INDAH ABADI, Tambak Langon 8",Ditemukan
6201177,"ADIMACHINERY GEMAPERKASA, PT, Margomulyo Permai A 12 - 14",PT. Adi Machinery Gemaperkasa,Tukang Kayu,"4,5"," JL. Margo mulyo Permai Blok A/12-14, Surabaya, 60186, Greges, Asemrowo, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,Gagal,-7.2454351,112.6830867,Aktif,· Tutup pukul 16.30,Gagal,"ADIMACHINERY GEMAPERKASA, PT, Margomulyo Permai A 12 - 14",Ditemukan
6201261,"RAFKO GAP, Jl. Margomulyo 44/L-12-A",Jl. Margomulyo No.44,Tidak ada ulasan,Gagal,"RT.001/RW.01, Greges",Gagal,Gagal,-7.2478322,112.6818344,Aktif,Gagal,Gagal,"RAFKO GAP, Jl. Margomulyo 44/L-12-A",Ditemukan
6201261,"RAFKO GAP, Jl. Margomulyo 44/L-12-A",Jl. Pergudangan Suri Mulia Blok M-8 No.44,Tidak ada ulasan,Gagal,"RT.000/RW.00, Greges",Gagal,Gagal,-7.242197,112.6924961,Aktif,Gagal,Gagal,"RAFKO GAP, Jl. Margomulyo 44/L-12-A",Tidak Ditemukan
6201335,"KARYA SENI INDONESIA, PT, Jl. Margomulyo Permai Blok Ah No. 35",PT KARYA SENI INDONESIA,Gudang,Gagal," Jl. Pergudangan Margomulyo Permai No.35 Blok AH, Asem Rowo, Surabaya, East Java 60183",Gagal,Gagal,-7.2467884,112.6903266,Aktif,· 16.00 · Buka Kam pukul 08.00,Gagal,"KARYA SENI INDONESIA, PT, Jl. Margomulyo Permai Blok Ah No. 35",Ditemukan
6206808,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Berkat Kharisma Lestari,Toko Mainan,"3,7",· Jl. Tenggilis Mejoyo Selatan I No.5,(031) 8420010,Gagal,-7.3215436,112.7613459,Aktif,Buka sekarang,Gagal,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Ditemukan
6206808,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Berkat Kharisma Lestari,Toko Mainan,"3,7",· Jl. Tenggilis Mejoyo Selatan I No.5,(031) 8420010,Gagal,-7.3215436,112.7613459,Aktif,Buka sekarang,Gagal,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Tidak Ditemukan
6206808,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Berkat Kharisma Lestari,Gudang,"5,0",· Jl. Tenggilis Mejoyo Selatan VII No.21,Gagal,Gagal,-7.3233744,112.7595942,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Tidak Ditemukan
6206808,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Berkat Kharisma Lestari,Gudang,"5,0",· Jl. Tenggilis Mejoyo Selatan VII No.21,Gagal,Gagal,-7.3233744,112.7595942,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"BERKAT KHARISMA SEJAHTERA, Jl. Tenggilis Mejoyo Selatan 1 No.4",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Link,Pembangunan Perumahan,"4,8",· Jl. Kebraon V,0823-3788-8850,Gagal,-7.3330115,112.7016331,Tutup,· Tutup pukul 19.00,Buka · Tutup pukul 19.00 · Buka · Tutup pukul 19.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Agency,Agen Asuransi,"4,5",· Jl. Raya Jemursari No.76/C15,(031) 8415519,Gagal,-7.3236507,112.7431845,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Agency,Agen Asuransi,"4,5",· Jl. Raya Jemursari No.76/C15,(031) 8415519,Gagal,-7.3236507,112.7431845,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Agency,Agen Asuransi,"4,5",· Jl. Raya Jemursari No.76/C15,(031) 8415519,Gagal,-7.3236507,112.7431845,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Agency,Agen Asuransi,"4,5",· Jl. Raya Jemursari No.76/C15,(031) 8415519,Gagal,-7.3236507,112.7431845,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Dharmahusada,Toko Kue,"4,6","· Jl. Wisma Permai Barat Raya Blok QQ No.3, RT.1/RW.7",(031) 1500581,Gagal,-7.2722908,112.7821872,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Dharmahusada,Toko Kue,"4,6","· Jl. Wisma Permai Barat Raya Blok QQ No.3, RT.1/RW.7",(031) 1500581,Gagal,-7.2722908,112.7821872,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Dharmahusada,Toko Kue,"4,6","· Jl. Wisma Permai Barat Raya Blok QQ No.3, RT.1/RW.7",(031) 1500581,Gagal,-7.2722908,112.7821872,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Dharmahusada,· $$,"4,6","· Jl. Wisma Permai Barat Raya Blok QQ No.3, RT.1/RW.7",(031) 1500581,Gagal,-7.2722908,112.7821872,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Patissier & Chocolatier - Bengawan,Toko Kue,"4,6",· Jl. Bengawan No.39,(021) 1500581,Gagal,-7.2901214,112.7377761,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Patissier & Chocolatier - Bengawan,Toko Kue,"4,6",· Jl. Bengawan No.39,(021) 1500581,Gagal,-7.2901214,112.7377761,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Patissier & Chocolatier - Bengawan,· $$,"4,6",· Jl. Bengawan No.39,(021) 1500581,Gagal,-7.2901214,112.7377761,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Patissier & Chocolatier - Bengawan,Toko Kue,"4,6",· Jl. Bengawan No.39,(021) 1500581,Gagal,-7.2901214,112.7377761,Tutup,· Tutup pukul 22.00,Buka · Tutup pukul 22.00 · Buka · Tutup pukul 22.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Printing Tenggilis,Percetakan Komersial,"4,3","· BLOk GG ,ak (Belakang Gedung BK3S sebelah Chico Supermarket, Jl. Tenggilis Timur VII No.6",0878-5600-2207,Gagal,-7.3213025,112.7541014,Tutup,· Tutup pukul 18.00,Buka · Tutup pukul 18.00 · Buka · Tutup pukul 18.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Printing Tenggilis,Percetakan Komersial,"4,3","· BLOk GG ,ak (Belakang Gedung BK3S sebelah Chico Supermarket, Jl. Tenggilis Timur VII No.6",0878-5600-2207,Gagal,-7.3213025,112.7541014,Tutup,· Tutup pukul 18.00,Buka · Tutup pukul 18.00 · Buka · Tutup pukul 18.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Printing Tenggilis,Percetakan Komersial,"4,3","· BLOk GG ,ak (Belakang Gedung BK3S sebelah Chico Supermarket, Jl. Tenggilis Timur VII No.6",0878-5600-2207,Gagal,-7.3213025,112.7541014,Tutup,· Tutup pukul 18.00,Buka · Tutup pukul 18.00 · Buka · Tutup pukul 18.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Harvest Printing Tenggilis,Percetakan Komersial,"4,3","· BLOk GG ,ak (Belakang Gedung BK3S sebelah Chico Supermarket, Jl. Tenggilis Timur VII No.6",0878-5600-2207,Gagal,-7.3213025,112.7541014,Tutup,· Tutup pukul 18.00,Buka · Tutup pukul 18.00 · Buka · Tutup pukul 18.00,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Graha Famili,Toko Roti,"4,3",· Komplek Ruko Plaza Graha Famili Blok B.07,Gagal,Gagal,-7.2920622,112.6764679,Tutup,· Tutup pukul 22.00,· Komplek Ruko Plaza Graha Famili Blok B.07 · Komplek Ruko Plaza Graha Famili Blok B.07,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Graha Famili,Toko Roti,"4,3",· Komplek Ruko Plaza Graha Famili Blok B.07,Gagal,Gagal,-7.2920622,112.6764679,Tutup,· Tutup pukul 22.00,· Komplek Ruko Plaza Graha Famili Blok B.07 · Komplek Ruko Plaza Graha Famili Blok B.07,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206824,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",The Harvest Cakes - Graha Famili,Toko Roti,"4,3",· Komplek Ruko Plaza Graha Famili Blok B.07,Gagal,Gagal,-7.2920622,112.6764679,Tutup,· Tutup pukul 22.00,· Komplek Ruko Plaza Graha Famili Blok B.07 · Komplek Ruko Plaza Graha Famili Blok B.07,"HARVEST, UD, Jl. Sarono.Jiwo 3 No.37",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Cv Indo Sejahtera Abadi,Gagal,"4,3","MQPP+P64, Jl. Raya Kendalsari",Gagal,Gagal,-7.3132299,112.7855635,Aktif,Gagal,Gagal,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Cv Indo Sejahtera Abadi,Gagal,"4,3","MQPP+P64, Jl. Raya Kendalsari",Gagal,Gagal,-7.3132299,112.7855635,Aktif,Gagal,Gagal,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Immanuel Digital Printing,Toko Percetakan,"4,9",· Jl. Siwalankerto Permai I No.B-23,0878-5109-9111,Gagal,-7.3414899,112.7425149,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Abadi Jaya Offset Printing,Toko Percetakan,"4,9",· Jl. Tembok Gede I No.90E,(031) 5315662,Gagal,-7.2556027,112.7300226,Tutup,· Tutup pukul 16.30,Buka · Tutup pukul 16.30 · Buka · Tutup pukul 16.30,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Abadi Jaya Offset Printing,Toko Percetakan,"4,9",· Jl. Tembok Gede I No.90E,(031) 5315662,Gagal,-7.2556027,112.7300226,Tutup,· Tutup pukul 16.30,Buka · Tutup pukul 16.30 · Buka · Tutup pukul 16.30,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Solaris Digital Print & Offset,Percetakan Komersial,"3,9",· Jl. Siwalankerto No.54,(031) 8481193,Gagal,-7.3384892,112.7323871,Tutup,· Tutup pukul 19.30,Buka · Tutup pukul 19.30 · Buka · Tutup pukul 19.30,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Solaris Digital Print & Offset,Percetakan Komersial,"3,9",· Jl. Siwalankerto No.54,(031) 8481193,Gagal,-7.3384892,112.7323871,Tutup,· Tutup pukul 19.30,Buka · Tutup pukul 19.30 · Buka · Tutup pukul 19.30,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C","Cetak Kalender 2026, Brosur kilat, Cetak Yasin tahlil - Percetakan Goprint",Percetakan Komersial,"4,7",· Jl. Tenggilis Mulya No.111,0896-1869-7776,Gagal,-7.321149,112.7579882,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C","Cetak Kalender 2026, Brosur kilat, Cetak Yasin tahlil - Percetakan Goprint",Percetakan Komersial,"4,7",· Jl. Tenggilis Mulya No.111,0896-1869-7776,Gagal,-7.321149,112.7579882,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6206970,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",TAKAHI OFFICE,Perusahaan Farmasi,"5,0",· Jl. Raya Bibis No.5 7A,(031) 7413447,Gagal,-7.2585311,112.6771044,Tutup,· Tutup pukul 17.00,Buka · Tutup pukul 17.00 · Buka · Tutup pukul 17.00,"INDOPRINT ABADI, Jl. Tenggilis Timur Viii/1C",Tidak Ditemukan
6207341,"SAMUDRA LUAS ABADI, Jl: Margomulyo Permai",PT Samudra Luas Abadi,Distributor Baja,"5,0"," Jl. Pergudangan Margomulyo Permai Blk. B No.07, Lontar, Kec. Sambikerep, Surabaya, Jawa Timur 60182",Gagal,https://www.pt-samudraluasabadi.com/,-7.245559,112.6849581,Aktif,· Tutup pukul 17.00,Gagal,"SAMUDRA LUAS ABADI, Jl: Margomulyo Permai",Ditemukan
